"Project ID","2"
"Project","OneApp"
"Exported at","2026-01-30T17:42:57.282Z"

"Case","Description","Folder","Notes","Preconditions","Priority","Steps (Expected)","Steps (Step)","Case ID","Automation","Configurations","Created at","Created by","Estimate","Expected","Forecast","Issues","State","Status (latest)","Status date","Steps (Text)","Tags","Template","Updated at","Updated by"
"View Past Statements","<p>For the below StaticText numbers AND  </p><p>When Paymenthistory = true</p><p>'View Past Statements' CTA should show inside card under the copy and Call CTA</p><p>ST3, ST14, ST16, ST17, ST18, and ST19.</p><p>Note the PaymentHistory quick action button SHOULD NOT SHOW for these. </p><p>The Payment History quick action button and View Past Statements CTA button should NEVER be shown together on th screen. </p>","NCF","","<p>StaticText = either of these nos. </p><p>ST3, ST14, ST16, ST17, ST18, and ST19.</p><p>PaymentHistory = True </p><p>in the <code>FinancialVehicles</code> api response</p>","Medium","<p>FinancialVehicles api is triggered</p><p>The NFC card is enabled on Home</p>
<p>Along with the copy for the relevant StaticText no. as per other TCs, the View Past Statements CTA show also show and be tappable</p>","<p>Once logged into an NCI account with a financial vehicle (use mock server) </p>
<p>Tap on Card</p>","58159","No","Android, Prod,Android, Stage,Prod, iOS,Stage, iOS","2025-08-11T20:49:02.472Z","Salima Vastani","","","","","Scenario","Passed","2026-01-20T22:40:29.567Z","","proxyman","Case (steps)","2025-08-11T20:55:56.683Z","Salima Vastani"
"SSTOLEN VEHICLE","<p>When vehicle status is STOLEN in Capabilities, show NCF card as enabled on Home screen </p>","NCF","","<p>vehicle status is STOLEN in Capabilities,</p>","Medium","<p>On HS, most cards will be disabled but NCF card should be enabled and clickage</p>","<p>Log in </p>","58160","No","","2025-08-14T20:03:08.782Z","Salima Vastani","","","","","Scenario","Passed","2026-01-21T15:54:06.892Z","","nci,proxyman","Case (steps)","2025-08-14T20:04:59.930Z","Salima Vastani"
"Dealer Offers Card","<p>This test case should cover</p><ol><li>Offers and Promotions card display</li><li>Design (Light / Dark Mode)</li><li>Reordering the card</li><li>Tap to navigate</li></ol>","Dealer Offers","","<ul><li>The user has a valid vehicle selected</li><li>No Pending or Stolen vehicle</li></ul>","Medium","<ul><li>Not card for <strong>Offers and Promotions</strong> should be display</li></ul>
<ul><li>The user should see a card at the bottom that reads <strong>Offers and Promotions</strong> as shown in the design</li></ul>
<ul><li>The user should be taken to the <strong>Dealer Offers</strong> screen </li></ul>
<ul><li>The user is redirect to <strong>Offer Details</strong> screen</li></ul>
<ul><li>The user goes back to the previous screen &gt; <strong>Dealer Offers</strong></li><li>The user goes to the <strong>Home</strong> page</li></ul>","<ol><li>The user reaches the Home screen (<code>""EnableDealerOffers"": ""false""</code>)</li></ol>
<ol><li>The user reaches the <strong>Home</strong> Screen (<code>""EnableDealerOffers"": ""true""</code>)</li></ol>
<ol><li>The user taps on the card</li></ol>
<ol><li>The user select one of the offers from the list</li></ol>
<ol><li>The user clicks the <code>&lt;</code> arrow</li><li>The user clicks the <code>&lt;</code> arrow again</li></ol>","28573","Yes","","2024-11-30T00:17:05.179Z","Diego Del Aguila","","","59","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate","Case (steps)","2025-12-19T15:16:09.383Z","Gemma Diaz Santa Cruz"
"Dealer Offers Page - Preferred Dealer Selected","<p>This test case should cover</p><ul><li>Offers and Promotions card navigation</li><li>Dealer Offers display</li></ul>","Dealer Offers","<p>The API should be called is <strong>DealsAndImagesByDealerId</strong>:</p><pre><code class=""editor-plain language-plain code-block"">{
  ""data"": {
    ""dealsByDealerId"": {
      ""__typename"": ""Deals"",
      ""coupon"": [
        {
          ""__typename"": ""Coupon"",
          ""couponId"": ""NCRCS"",
          ""couponTitle"": ""Complimentary Rental Car With Service of $300 or more*"",
          ""standardDisclaimer"": ""*Basic transportation included. Insurance, upgrades, and fuel extra. Subject to rental company's age, credit card and license requirements. Certain restrictions apply. See dealer for details. Price and offer availability may vary by model. Taxes and fees additional. No cash value. Must present offer to redeem. May not be combined with other offers. Nissan vehicles only. Void where prohibited.""
        },
        {
          ""__typename"": ""Coupon"",
          ""couponId"": ""NGNRBI_ES"",
          ""couponTitle"": ""Genuine Nissan Battery Replacement &amp; Installation* - Express Service"",
          ""standardDisclaimer"": ""*Genuine Nissan Battery only. See warranty information booklet for battery limited warranty details. Certain restrictions apply. See dealer for details. Price and offer availability may vary by model. Taxes and fees additional. No cash value. Must present offer to redeem. May not be combined with other offers. Nissan vehicles only. Void where prohibited.""
        },
        {
          ""__typename"": ""Coupon"",
          ""couponId"": ""NGNSSR"",
          ""couponTitle"": ""Genuine Nissan Shocks or Struts Replacement*"",
          ""standardDisclaimer"": ""*Lifetime Limited Warranty available on dealer-installed Genuine Nissan Shocks or Struts only. See Warranty Information Booklet for details. Certain restrictions apply. See dealer for details. Price and offer availability may vary by model. Taxes and fees additional. No cash value. Must present offer to redeem. May not be combined with other offers. Nissan vehicles only. Void where prohibited.""
        },
        {
          ""__typename"": ""Coupon"",
          ""couponId"": ""NNOTORLP"",
          ""couponTitle"": ""MyNISSAN Rewards Loyalty Program*"",
          ""standardDisclaimer"": ""*Reward Points are non-transferable, have no monetary value and are not redeemable for value other than through the MyNISSAN Rewards program. Offer valid at participating dealers. Certain restrictions apply. See dealer for details. Price and offer availability may vary by model. Taxes and fees additional. No cash value. Must present offer to redeem. May not be combined with other offers. Nissan vehicles only. Void where prohibited.""
        },
        {
          ""__typename"": ""Coupon"",
          ""couponId"": ""NNRS_ES"",
          ""couponTitle"": ""Nissan Recommended Services* - Express Service"",
          ""standardDisclaimer"": ""*Offer only applies to Manufacturer's Recommended Scheduled Maintenance services. See Owner's Manual for maintenance schedule details. Certain restrictions apply. See dealer for details. Price and offer availability may vary by model. Taxes and fees additional. No cash value. Must present offer to redeem. May not be combined with other offers. Nissan vehicles only. Void where prohibited.""
        },
        {
          ""__typename"": ""Coupon"",
          ""couponId"": ""NPLB"",
          ""couponTitle"": ""Parts and Labor Bonus*"",
          ""standardDisclaimer"": ""*Offer only applies to services that include labor. Discount based on individual dealer's pricing guide. Certain restrictions apply. See dealer for details. Price and offer availability may vary by model. Taxes and fees additional. No cash value. Must present offer to redeem. May not be combined with other offers. Nissan vehicles only. Void where prohibited.""
        },
        {
          ""__typename"": ""Coupon"",
          ""couponId"": ""NSOCGNOF_ES"",
          ""couponTitle"": ""Synthetic Oil &amp; Filter Change* - Express Service"",
          ""standardDisclaimer"": ""*Excludes diesel models. Using Genuine Nissan Oil Filter and multi-grade oil up to vehicle specification. Certain restrictions apply. See dealer for details. Price and offer availability may vary by model. Taxes and fees additional. No cash value. Must present offer to redeem. May not be combined with other offers. Nissan vehicles only. Void where prohibited.""
        },
        {
          ""__typename"": ""Coupon"",
          ""couponId"": ""NTR"",
          ""couponTitle"": ""Tire Rotation and Balance*"",
          ""standardDisclaimer"": ""*Certain restrictions apply. See dealer for details. Price and offer availability may vary by model. Taxes and fees additional. No cash value. Must present offer to redeem. May not be combined with other offers. Nissan vehicles only. Void where prohibited.""
        }
      ]
    },
    ""dealsImagesByDealerId"": {
      ""__typename"": ""DealsImages"",
      ""coupons"": [
        {
          ""__typename"": ""CouponImage"",
          ""couponId"": ""NCRCS"",
          ""couponImageUrl"": ""https://axis-api-gw.epsilonrms.com/ENROLLAPI/genericdataservice/getCouponImage/NissanDigitalServiceMarketing/CouponImage/64344_5008_NCRCS.png?encoding=true""
        },
        {
          ""__typename"": ""CouponImage"",
          ""couponId"": ""NGNRBI_ES"",
          ""couponImageUrl"": ""https://axis-api-gw.epsilonrms.com/ENROLLAPI/genericdataservice/getCouponImage/NissanDigitalServiceMarketing/CouponImage/64344_5004_NGNRBI_ES.png?encoding=true""
        },
        {
          ""__typename"": ""CouponImage"",
          ""couponId"": ""NGNSSR"",
          ""couponImageUrl"": ""https://axis-api-gw.epsilonrms.com/ENROLLAPI/genericdataservice/getCouponImage/NissanDigitalServiceMarketing/CouponImage/64344_5016_NGNSSR.png?encoding=true""
        },
        {
          ""__typename"": ""CouponImage"",
          ""couponId"": ""NNOTORLP"",
          ""couponImageUrl"": ""https://axis-api-gw.epsilonrms.com/ENROLLAPI/genericdataservice/getCouponImage/NissanDigitalServiceMarketing/CouponImage/64344_5012_NNOTORLP.png?encoding=true""
        },
        {
          ""__typename"": ""CouponImage"",
          ""couponId"": ""NNRS_ES"",
          ""couponImageUrl"": ""https://axis-api-gw.epsilonrms.com/ENROLLAPI/genericdataservice/getCouponImage/NissanDigitalServiceMarketing/CouponImage/64344_5009_NNRS_ES.png?encoding=true""
        },
        {
          ""__typename"": ""CouponImage"",
          ""couponId"": ""NPLB"",
          ""couponImageUrl"": ""https://axis-api-gw.epsilonrms.com/ENROLLAPI/genericdataservice/getCouponImage/NissanDigitalServiceMarketing/CouponImage/64344_5007_NPLB.png?encoding=true""
        },
        {
          ""__typename"": ""CouponImage"",
          ""couponId"": ""NSOCGNOF_ES"",
          ""couponImageUrl"": ""https://axis-api-gw.epsilonrms.com/ENROLLAPI/genericdataservice/getCouponImage/NissanDigitalServiceMarketing/CouponImage/64344_5524_NSOCGNOF_ES.png?encoding=true""
        },
        {
          ""__typename"": ""CouponImage"",
          ""couponId"": ""NTR"",
          ""couponImageUrl"": ""https://axis-api-gw.epsilonrms.com/ENROLLAPI/genericdataservice/getCouponImage/NissanDigitalServiceMarketing/CouponImage/64344_5013_NTR.png?encoding=true""
        }
      ]
    }
  }
}</code></pre>","<ul><li>The user has a valid vehicle selected</li><li>The user has a preferred dealer selected</li><li>The user has a valid set of dealer offers</li><li>The user is already in the Home Screen</li><li>The FF needs to be <code>""EnableDealerOffers"": ""true""</code></li></ul>","Medium","<ul><li>The user should be taken to the <strong>Dealer Offers</strong> screen </li></ul>
<ul><li>The app should display:<ul><li>Preferred dealer section at the top with only the Header, Address, Directions Icon, Call Icon and Languages Spoken</li><li>The Dealer Offers section</li><li>The offers returned from the middleware</li></ul></li></ul>","<ol><li>The user taps on the <strong>Offers and Promotions</strong> card</li></ol>
<ol><li>Validate the screen</li></ol>","28574","Yes","Android, Prod,Prod, iOS","2024-11-30T00:41:53.072Z","Diego Del Aguila","","","46","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate","Case (steps)","2025-12-19T15:16:15.293Z","Gemma Diaz Santa Cruz"
"Dealer Offers Page - Error fetching offers","<p>This test case should cover</p><ol><li>Offers and Promotions card navigation</li><li>Error fetching the offers modal</li></ol>","Dealer Offers","","<ul><li>The user is already logged in</li><li>The user has a valid vehicle selected</li><li>The user has a preferred dealer</li><li>The user is already in the Home Screen</li><li>The <code>GetDealsByDealerId</code> API should fail</li><li>The FF needs to be <code>""EnableDealerOffers"": ""true""</code></li></ul>","Medium","<p>The user should be taken to the ""Dealer Offers"" screen </p>
<p>The app should display:</p><ol><li>Something went wrong modal</li><li>Title: <code>Something Went Wrong</code></li><li>Description: <code>Sorry, something went wrong, please try again.</code></li><li>Cancel / Retry buttons</li></ol>
<p>The <code>GetDealsByDealerId</code> is triggered again</p>
<p>The User stays on Dealer Offers page</p>","<p>The user taps on the ""Offers and Promotions"" card</p>
<p>The <code>GetDealsByDealerId</code> API Fails</p>
<p>Tap on Retry</p>
<p>Tan on Cancel</p>","28575","No","Android, Prod,Prod, iOS","2024-11-30T01:37:08.413Z","Diego Del Aguila","","","","","Active","Failed","2024-12-12T14:18:39.459Z","","infiniti,nissan,nna","Case (steps)","2025-12-19T15:16:23.421Z","Gemma Diaz Santa Cruz"
"Dealer Offers Page - No Preferred Dealer","<p>This test case should cover:</p><ul><li>Offers and Promotions card navigation</li></ul>","Dealer Offers","<p>The API should be calling <strong>VehiclePreferredDealer</strong>:</p><pre><code class=""editor-plain language-plain code-block"">{
  ""data"": {}
}</code></pre>","<ul><li>The user has a valid vehicle selected</li><li>The uses doesn't have a preferred dealer selected</li><li>The user is already in the Home Screen</li><li>The FF needs to be <code>""EnableDealerOffers"": ""true""</code></li></ul>","Medium","<ul><li>The user should be taken to the empty Preferred Dealer page (Same as Vehicle &gt; Vehicle Profile &gt; My Dealer)<ul><li><code>Preferred dealer not selected - Search Dealers</code></li></ul></li></ul>","<ol><li>The user taps on the <strong>Offers and Promotions</strong> card</li></ol>","28576","No","Android, Prod,Prod, iOS","2024-11-30T01:43:14.761Z","Diego Del Aguila","","","","","Active","Passed","2026-01-16T13:59:02.135Z","","androidautomated-nna,infiniti,nissan,nna","Case (steps)","2025-12-19T15:16:29.311Z","Gemma Diaz Santa Cruz"
"Dealer Offers - Download Offer","<p>This test case should cover</p><ul><li>Downloading an offer</li></ul>","Dealer Offers","<p>The app will call the API <strong>DealsAndImagesByDealerId</strong></p>","<ul><li>The user already selected one offer from the list</li><li>The FF needs to be <code>""EnableDealerOffers"": ""true""</code></li></ul>","Medium","<ul><li>The user should see the <strong>Offer Details</strong> screen</li></ul>
<ul><li>The OS pop-up will show to give permissions to storage images in the phone</li><li>The toast shows saying the image was saved correctly<ul><li><code>Imaged saved in the phone</code></li></ul></li><li>The offer was saved correctly in the phone storage</li></ul><p>NOTE: For Android, you will not see the OS pop up as it is controlled now on the OS for newer versions. </p>
<ul><li>The details of the offer should display correctly</li></ul>","<ol><li>The user selects one offer from the List</li></ol>
<ol><li>The user clicks <code>Download Offer</code> link(blue color)</li></ol>
<ol><li>The user opens the offer downloaded</li></ol>","62176","Yes","","2025-12-17T15:51:48.013Z","Enrique Alcaide","","","59","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate","Case (steps)","2026-01-15T10:42:51.710Z","Salima Vastani"
"Dealer Offers - Hours of Operation","<p>This test case should cover</p><ul><li>Hours of operation from Offers and Promotions </li></ul>","Dealer Offers","","<ul><li>The user is in the <strong>Offer Details</strong> screen</li><li>The FF needs to be <code>""EnableDealerOffers"": ""true""</code></li></ul>","Medium","<ul><li>The hours should be displaying under <code>Service Center</code></li><li>The hours should display like:<ul><li><code>Monday-Friday: 7 AM - 6 PM</code></li><li><code>Saturday: 7 AM - 2 PM</code></li><li><code>Sunday: Closed</code></li></ul></li><li>For NCI it should be displaying<ul><li><code>Monday-Friday: 7 AM - 6 PM</code></li><li><code>Saturday: 7 AM - 2 PM</code></li><li><code>Sunday: Closed</code></li></ul></li></ul>","<ol><li>The user scroll to the <strong>Hours of Operation</strong> section</li></ol>","62177","Yes","","2025-12-17T15:52:02.440Z","Enrique Alcaide","","","59","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate","Case (steps)","2025-12-19T15:16:40.680Z","Gemma Diaz Santa Cruz"
"Dealer Offers - Search Dealers","<p>This test case should cover</p><ul><li>Search Dealer</li></ul>","Dealer Offers","","<ul><li>The user is on the <strong>Dealer Offers</strong> screen</li><li>The FF needs to be <code>""EnableDealerOffers"": ""true""</code></li></ul>","Medium","<ul><li>The user should be redirect to <strong>Find a Dealer </strong>screen</li><li>The searchBox should display with the placeholder <code>Search</code> and the icon</li><li>The list should be empty with the text:<ul><li>No search results found in your area. Search by <strong>ZIP Code</strong></li></ul></li></ul>
<ul><li>The results should display in the UI</li></ul>","<ol><li>Tap on<strong> Search Dealers</strong></li></ol>
<ol><li>Enter a ZIP code - <strong>37067</strong></li><li>Click DONE(in iOS)</li></ol>","62178","Yes","","2025-12-17T15:52:05.062Z","Enrique Alcaide","","","59","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate","Case (steps)","2025-12-19T15:16:46.418Z","Gemma Diaz Santa Cruz"
"Dealer Offers - Set Preferred dealer","<p>This test case should cover</p><ul><li>Set Preferred dealer</li></ul>","Dealer Offers","","<ul><li>The user is on the <strong>Dealer Offers</strong> screen</li><li>The FF needs to be <code>""EnableDealerOffers"": ""true""</code></li></ul>","Medium","<ul><li>If you have enable <code>Sharing Data</code> a pop-up should show to disable before setting a dealer</li><li>If you have disable <code>Sharing Data</code> the dealer selected should be the new one set</li><li>Toast message should be showing:<ul><li><code>New dealer set as default</code></li></ul></li></ul>","<ol><li>Tap on<strong> Search Dealers</strong></li><li>Enter a ZIP code - <strong>37067</strong></li><li>Select a result from the list</li><li>Click DONE(in iOS)</li><li>Select <code>Set as My Dealer</code></li></ol>","62186","Yes","","2025-12-17T19:29:25.697Z","Enrique Alcaide","","","59","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate","Case (steps)","2025-12-19T15:16:52.571Z","Gemma Diaz Santa Cruz"
"Dealer Offers - Schedule Service","<p>This test case should cover</p><ul><li>Schedule Service</li></ul>","Dealer Offers","","<ul><li>The user is in the <strong>Offer Details </strong>screen</li><li>The FF needs to be <code>""EnableDealerOffers"": ""true""</code></li></ul>","Medium","<ul><li>The user is taken to the Schedule Service flow</li></ul>","<ol><li>The user clicks the <code>Schedule Service</code> button</li></ol>","62179","Yes","","2025-12-17T15:52:07.795Z","Enrique Alcaide","","","59","","Active","Failed","2026-01-28T00:37:16.265Z","","automation-candidate","Case (steps)","2025-12-19T15:16:59.134Z","Gemma Diaz Santa Cruz"
"Verify Nissan Protection Plan card is not displayed","<p>The scope of this test case is to validate the correct functioning of the embedded YouTube video when FF are enabled. </p><p>Nissan NCI will be the only brand and region showing the videos; INF NCI will not display them</p><p><mark class=""marker-pink""><strong>iOS</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188780794"">[NCESI] Navigate user to Vehicle Protection Screen Overview- 2/18</a></li></ul><p><mark class=""marker-green""><strong>ANDROID</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188831770"">[NCESI] Navigate user to Vehicle Protection Screen Overview- 2/18</a></li></ul>","Nissan Protection (NCESI)","","<p>Set FFs as follows</p><ul><li><code>EnableNcesiServiceContracts</code>: false</li></ul>","Medium","<p>Verify <code>Nissan Protection</code> card is not displayed on Home screen</p>","<p>Login to app &gt; Go to <code>Home</code> screen </p>","32512","No","","2025-04-04T19:54:34.774Z","Gemma Diaz Santa Cruz","","","","","Scenario","Passed","2026-01-21T12:26:07.246Z","","infiniti,nci,nissan,regression,smoke","Case (steps)","2025-04-04T19:57:40.893Z","Gemma Diaz Santa Cruz"
"Verify Nissan Protection Plan card is displayed","<p>The scope of this test case is to validate the correct functioning of the embedded YouTube video when FF are enabled. </p><p>Nissan NCI will be the only brand and region showing the videos; INF NCI will not display them</p><p><mark class=""marker-pink""><strong>iOS</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188780794"">[NCESI] Navigate user to Vehicle Protection Screen Overview- 2/18</a></li></ul><p><mark class=""marker-green""><strong>ANDROID</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188831770"">[NCESI] Navigate user to Vehicle Protection Screen Overview- 2/18</a></li></ul>","Nissan Protection (NCESI)","","<p>Set FFs as follows</p><ul><li><code>EnableNcesiServiceContracts</code>: true</li></ul>","Medium","<p>Verify <code>Nissan Protection</code> card is displayed on the home screen</p>
<p>Verify user is taken to Nissan Protection card</p>","<p>Login to app &gt; Go to <code>Home</code> screen </p>
<p>Tap on <code>Nissan Protection</code> card</p>","32517","No","","2025-04-04T20:06:23.133Z","Gemma Diaz Santa Cruz","","","","","Scenario","Passed","2026-01-21T12:26:27.193Z","","infiniti,nci,nissan,regression,smoke","Case (steps)","2025-04-04T20:10:27.734Z","Gemma Diaz Santa Cruz"
"Verify Nissan Protection Plan empty state for STOLEN or PENDING vehicles","<p>The scope of this test case is to validate the correct functioning of the embedded YouTube video when FF are enabled. </p><p>Nissan NCI will be the only brand and region showing the videos; INF NCI will not display them</p><p><mark class=""marker-pink""><strong>iOS</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188780794"">[NCESI] Navigate user to Vehicle Protection Screen Overview- 2/18</a></li></ul><p><mark class=""marker-green""><strong>ANDROID</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188831770"">[NCESI] Navigate user to Vehicle Protection Screen Overview- 2/18</a></li></ul>","Nissan Protection (NCESI)","","<p>Set FFs as follows</p><ul><li><code>EnableNcesiServiceContracts</code>: true</li><li><code>EnableNcesiCatalogue</code>: true</li><li>Mock GetServiceContract response (use attached mocks ENG/FR)</li></ul>","Medium","<p>Verify there are plans showing</p>
<p>Verify Nissan Protection card is displayed</p>
<p>Verify Nissan Contract screen displays as empty state.</p><ul><li>Display Vehicle Information section</li><li>Display Service Contracts section with <code>View All Nissan Protection Products</code> cta but not contracts</li><li>Display Basic Coverage section with mileage information</li><li>No call is triggered for GetServiceContract API</li></ul>
<p>Verify user can navigate to Plans and see the video without any problem</p>","<p>Use mock provided &gt; Login to app &gt; Go to Nissan Protection app </p>
<p>Mock capabilities to show vehicle has STOLEN or PENDING &gt; call capabilities again</p>
<p>Tap on <code>Nissan Protection</code> </p>
<p>Tap on <code>View All Nissan Protection Products</code> cta</p>","32513","No","","2025-04-04T19:56:10.841Z","Gemma Diaz Santa Cruz","","","","","Scenario","Passed","2026-01-22T17:34:46.580Z","","infiniti,nci,nissan,regression,smoke","Case (steps)","2026-01-22T17:32:40.163Z","Salima Vastani"
"Verify Nissan Protection screen navigation","<p>The scope of this test case is to validate the correct functioning of the embedded YouTube video when FF are enabled. </p><p>Nissan NCI will be the only brand and region showing the videos; INF NCI will not display them</p><p><mark class=""marker-pink""><strong>iOS</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188780794"">[NCESI] Navigate user to Vehicle Protection Screen Overview- 2/18</a></li></ul><p><mark class=""marker-green""><strong>ANDROID</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188831770"">[NCESI] Navigate user to Vehicle Protection Screen Overview- 2/18</a></li></ul>","Nissan Protection (NCESI)","","<p>Set FFs as follows</p><ul><li><code>EnableNcesiServiceContracts</code>: true</li><li><code>EnableNcesiCatalogue</code>: true</li><li>Mock GetServiceContract response (use attached mocks ENG/FR in case needed)</li></ul>","Medium","<p>Verify there is a call trigger for <code>GetServiceContract</code> API for the selected VIN and a loading icon is displayed in the screen until a response is retrieved.</p>
<p>Compare mapping: </p><ul><li>Status: Displayed in hierarchal order<code>Active =&gt; Expiring Soon =&gt; Expired =&gt; Cancelled</code></li><li>coverageName: Name of the plan</li><li>coverage: This will affect the icon displayed for each plan.<ul><li>For <strong>Nissan</strong>:<ul><li>(English acronyms on the left, FR equivalent on the right)<ul><li>CPO = VOC</li><li>PMP = PEP</li><li>ASP = PSP</li></ul></li></ul></li><li>For <strong>Infiniti</strong>:<ul><li>(English acronyms on the left, FR equivalent on the right)<ul><li>[Nissan’s ASP] IPP = PPI</li><li>CPO = VOC</li><li>PMP = PEP</li></ul></li></ul></li></ul></li></ul>
<p>Verify Roadside Assistance coverage information is displayed:</p><ul><li>Only months are displayed (no mileage should be shown)</li><li>Flat tires, Dead battery, Low fuel, and locked out buttons are present.</li></ul>
<p>Verify <code>GetServiceContract</code> API is not called again</p>
<p>Verify there is a call for <code>GetServiceContract</code> API for the selected VIN</p>
<p>Verify <code>GetServiceContract</code> API is called again for the selected VIN</p>
<p>Verify the app displays empty state</p>","<p>Use mock provided &gt; Login to app &gt; Go to <code>Nissan Protection</code> card </p>
<p>Go to Service Contract Section</p>
<p>Go to <code>Basic Coverage</code> section</p>
<p>Background/foreground the app </p>
<p>Cold start the app</p>
<p>Change vehicles &gt; Tap <code>Nissan Protection</code> card </p>
<p>Mock <code>GetServiceContract</code> API to fail</p>","32518","No","","2025-04-04T20:57:54.724Z","Gemma Diaz Santa Cruz","","","","","Scenario","Passed","2026-01-23T13:38:25.663Z","","infiniti,nci,nissan,regression,smoke","Case (steps)","2025-04-05T00:05:59.451Z","Gemma Diaz Santa Cruz"
"Do not display YouTube videos","<p>The scope of this test case is to validate the correct functioning of the embedded YouTube video when FF are enabled. </p><p>Nissan NCI will be the only brand and region showing the videos; INF NCI will not display them</p><p><mark class=""marker-pink""><strong>iOS</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188814048"">[NCESI] Embed Youtube video in catalogue page for Nissan brand - 2/18</a></li></ul><p><mark class=""marker-green""><strong>ANDROID</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188831767"">[NCESI] Embed Youtube video in catalogue page for Nissan brand - 2/18</a></li></ul>","Nissan Protection (NCESI)","","<p>Set FFs as follows</p><ul><li><code>EnableNcesiServiceContracts</code>: true</li><li><code>EnableNcesiCatalogue</code>: false</li></ul>","Medium","<p>Verify user is led to the <code>Nissan Protection</code> screen and <code>View all Nissan Protection Products</code> cta is not displayed</p>","<p>Login to NIS app &gt; Go to <code>Home</code> screen &gt; Tap on <code>Nissan Protection</code> </p>","32500","No","","2025-04-02T23:37:29.062Z","Gemma Diaz Santa Cruz","","","","","Scenario","Passed","2026-01-22T17:57:04.931Z","","nci,nissan,regression,smoke","Case (steps)","2025-04-03T00:22:50.527Z","Gemma Diaz Santa Cruz"
"Do not display YouTube videos for INF","<p>The scope of this test case is to validate the correct functioning of the embedded YouTube video when FF are enabled. </p><p>Nissan NCI will be the only brand and region showing the videos; INF NCI will not display them</p><p><mark class=""marker-pink""><strong>iOS</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188814048"">[NCESI] Embed Youtube video in catalogue page for Nissan brand - 2/18</a></li></ul><p><mark class=""marker-green""><strong>ANDROID</strong></mark></p><ul><li><a href=""https://www.pivotaltracker.com/story/show/188831767"">[NCESI] Embed Youtube video in catalogue page for Nissan brand - 2/18</a></li></ul>","Nissan Protection (NCESI)","","<p>Set FFs as follows</p><ul><li><code>EnableNcesiServiceContracts</code>: true</li><li><code>EnableNcesiCatalogue</code>: true</li></ul>","Medium","<p>Verify user is led to the <code>Nissan Protection</code> screen </p>
<p>Verify INF app does not display any videos</p>","<p>Login to NIS app &gt; Go to <code>Home</code> screen &gt; Tap on <code>Nissan Protection</code> </p>
<p>Tap on <code>View all Nissan Protection Products</code> cta &gt; Tap on <code>Added Security Plan</code> card &gt; Tap on <code>See details</code> options from any plan</p>","32504","No","","2025-04-03T00:23:21.777Z","Gemma Diaz Santa Cruz","","","","","Scenario","Passed","2026-01-21T12:27:16.133Z","","infiniti,nci,regression,smoke","Case (steps)","2025-04-03T00:25:11.918Z","Gemma Diaz Santa Cruz"
